"id","text","text_preprocessed","intent","source_category","faq_id"
"utt-179","Bagaimana cara membayar kuliah melalui ATM BNI?","bayar kuliah lalu atm bni","pembayaran_dan_biaya","Pembayaran dan Biaya Kuliah","179"
"utt-180","Apa itu kode prefix atau billing pembayaran UMB?","kode prefix billing bayar umb","pembayaran_dan_biaya","Pembayaran dan Biaya Kuliah","180"
"utt-181","Apa kode prefix pembayaran untuk kelas Reguler 1?","kode prefix bayar kelas reguler 1","pembayaran_dan_biaya","Pembayaran dan Biaya Kuliah","181"
"utt-182","Apa kode prefix pembayaran untuk kelas Reguler 2 atau kelas karyawan?","kode prefix bayar kelas reguler 2 kelas karyawan","pembayaran_dan_biaya","Pembayaran dan Biaya Kuliah","182"
"utt-183","Apa yang harus dilakukan jika nominal tagihan pembayaran tidak sesuai?","harus laku jika nominal tagih bayar tidak sesuai","pembayaran_dan_biaya","Pembayaran dan Biaya Kuliah","183"
"utt-184","Apa saja jenis perubahan status mahasiswa yang tersedia?","saja jenis ubah status mahasiswa tersedia","status_dan_perpindahan_mahasiswa","Perubahan Status Mahasiswa","184"
"utt-185","Bagaimana cara mengajukan cuti kuliah?","aju cuti kuliah","status_dan_perpindahan_mahasiswa","Pengajuan Cuti","185"
"utt-186","Di mana mahasiswa mengajukan cuti kuliah?","mana mahasiswa aju cuti kuliah","status_dan_perpindahan_mahasiswa","Pengajuan Cuti","186"
"utt-187","Menu apa yang dipilih untuk mengajukan cuti di SIA?","menu pilih aju cuti sia","status_dan_perpindahan_mahasiswa","Pengajuan Cuti","187"
"utt-188","Siapa saja yang menyetujui pengajuan cuti mahasiswa?","siapa saja tuju aju cuti mahasiswa","status_dan_perpindahan_mahasiswa","Pengajuan Cuti","188"
"utt-189","Bagaimana cara mengecek status cuti sudah berhasil?","cek status cuti sudah hasil","status_dan_perpindahan_mahasiswa","Pengajuan Cuti","189"
"utt-190","Apa yang terjadi setelah pengajuan cuti disetujui?","jadi telah aju cuti tuju","status_dan_perpindahan_mahasiswa","Pengajuan Cuti","190"
"utt-191","Bagaimana prosedur aktif kembali dari cuti?","prosedur aktif kembali cuti","status_dan_perpindahan_mahasiswa","Aktif Kembali dari Cuti","191"
"utt-192","Apa langkah pertama untuk aktif kembali setelah cuti?","langkah pertama aktif kembali telah cuti","status_dan_perpindahan_mahasiswa","Aktif Kembali dari Cuti","192"
"utt-193","Apakah mahasiswa yang aktif kembali dari cuti harus mengisi KRS?","apakah mahasiswa aktif kembali cuti harus isi krs","status_dan_perpindahan_mahasiswa","Aktif Kembali dari Cuti","193"
"utt-194","Bagaimana prosedur pindah program studi?","prosedur pindah program studi","status_dan_perpindahan_mahasiswa","Pindah Program Studi","194"
"utt-195","Di mana mahasiswa mengunduh formulir Pindah Program Studi?","mana mahasiswa unduh formulir pindah program studi","status_dan_perpindahan_mahasiswa","Pindah Program Studi","195"
"utt-196","Dokumen apa yang diperlukan untuk pindah program studi?","dokumen perlu pindah program studi","status_dan_perpindahan_mahasiswa","Pindah Program Studi","196"
"utt-197","Siapa yang harus menyetujui pengajuan pindah program studi?","siapa harus tuju aju pindah program studi","status_dan_perpindahan_mahasiswa","Pindah Program Studi","197"
"utt-198","Apa tugas Kaprodi atau Sekprodi tujuan dalam proses pindah program studi?","tugas kaprodi sekprodi tuju dalam proses pindah program studi","status_dan_perpindahan_mahasiswa","Pindah Program Studi","198"
"utt-199","Link upload berkas Pindah Program Studi untuk tiap kampus apa saja?","link upload berkas pindah program studi tiap kampus saja","status_dan_perpindahan_mahasiswa","Pindah Program Studi","199"
"utt-200","Apakah pindah program studi menyebabkan perubahan NIM?","apakah pindah program studi sebab ubah nim","status_dan_perpindahan_mahasiswa","Pindah Program Studi","200"
"utt-201","Bagaimana mahasiswa mendapatkan NIM dan password setelah pindah program studi?","mahasiswa dapat nim password telah pindah program studi","status_dan_perpindahan_mahasiswa","Pindah Program Studi","201"
"utt-202","Siapa yang melakukan entry KRS setelah mahasiswa pindah program studi?","siapa laku entry krs telah mahasiswa pindah program studi","status_dan_perpindahan_mahasiswa","Pindah Program Studi","202"
"utt-203","Bagaimana prosedur pindah lokasi kampus?","prosedur pindah lokasi kampus","status_dan_perpindahan_mahasiswa","Pindah Lokasi Kampus","203"
"utt-204","Link formulir Pindah Lokasi Kampus untuk tiap kampus apa saja?","link formulir pindah lokasi kampus tiap kampus saja","status_dan_perpindahan_mahasiswa","Pindah Lokasi Kampus","204"
"utt-205","Siapa yang mengubah status lokasi kuliah mahasiswa?","siapa ubah status lokasi kuliah mahasiswa","status_dan_perpindahan_mahasiswa","Pindah Lokasi Kampus","205"
"utt-206","Bagaimana mahasiswa mengetahui pindah lokasi kampus sudah diproses?","mahasiswa tahu pindah lokasi kampus sudah proses","status_dan_perpindahan_mahasiswa","Pindah Lokasi Kampus","206"
"utt-207","Apa itu pindah program perkuliahan?","pindah program kuliah","status_dan_perpindahan_mahasiswa","Pindah Program Perkuliahan","207"
"utt-208","Bagaimana prosedur pindah program perkuliahan?","prosedur pindah program kuliah","status_dan_perpindahan_mahasiswa","Pindah Program Perkuliahan","208"
"utt-209","Di mana mengunduh formulir Pindah Program Perkuliahan?","mana unduh formulir pindah program kuliah","status_dan_perpindahan_mahasiswa","Pindah Program Perkuliahan","209"
"utt-210","Apakah pindah dari Reguler 1 ke Reguler 2 perlu Surat Keterangan Kerja?","apakah pindah reguler 1 reguler 2 perlu surat terang kerja","status_dan_perpindahan_mahasiswa","Pindah Program Perkuliahan","210"
"utt-211","Siapa yang menyetujui pindah program perkuliahan?","siapa tuju pindah program kuliah","status_dan_perpindahan_mahasiswa","Pindah Program Perkuliahan","211"
"utt-212","Ke mana mahasiswa mengunggah formulir pindah program perkuliahan?","mana mahasiswa unggah formulir pindah program kuliah","status_dan_perpindahan_mahasiswa","Pindah Program Perkuliahan","212"
"utt-213","Bagaimana cara memastikan perubahan status mahasiswa sudah berhasil?","pasti ubah status mahasiswa sudah hasil","status_dan_perpindahan_mahasiswa","Perubahan Status Mahasiswa","213"
"utt-214","Apa itu FAST Learning Universitas Mercu Buana?","fast learning universitas mercu buana","elearning_dan_absensi","E-Learning dan Absensi","214"
"utt-215","Bagaimana cara login ke FAST Learning untuk mahasiswa?","login fast learning mahasiswa","elearning_dan_absensi","E-Learning dan Absensi","215"
"utt-216","Apa username dan password awal FAST Learning mahasiswa?","username password awal fast learning mahasiswa","elearning_dan_absensi","E-Learning dan Absensi","216"
"utt-217","Apa saja menu utama yang ada di FAST Learning?","saja menu utama ada fast learning","elearning_dan_absensi","E-Learning dan Absensi","217"
"utt-218","Apa itu Weekly Outline pada FAST Learning?","weekly outline fast learning","elearning_dan_absensi","E-Learning dan Absensi","218"
"utt-219","Apa saja jenis perkuliahan pada sistem FAST Learning?","saja jenis kuliah sistem fast learning","elearning_dan_absensi","E-Learning dan Absensi","219"
"utt-220","Apa itu Tatap Muka Virtual?","tatap muka virtual","elearning_dan_absensi","E-Learning dan Absensi","220"
"utt-221","Bagaimana cara mengikuti Tatap Muka Virtual di FAST Learning?","ikut tatap muka virtual fast learning","elearning_dan_absensi","E-Learning dan Absensi","221"
"utt-222","Apa itu Tatap Muka Kelas?","tatap muka kelas","elearning_dan_absensi","E-Learning dan Absensi","222"
"utt-223","Apa itu Perkuliahan Daring?","kuliah daring","elearning_dan_absensi","E-Learning dan Absensi","223"
"utt-224","Bagaimana aturan kehadiran mahasiswa pada Tatap Muka Kelas?","atur hadir mahasiswa tatap muka kelas","elearning_dan_absensi","E-Learning dan Absensi","224"
"utt-225","Bagaimana aturan kehadiran mahasiswa pada Tatap Muka Virtual?","atur hadir mahasiswa tatap muka virtual","elearning_dan_absensi","E-Learning dan Absensi","225"
"utt-226","Bagaimana aturan kehadiran mahasiswa pada Perkuliahan Daring?","atur hadir mahasiswa kuliah daring","elearning_dan_absensi","E-Learning dan Absensi","226"
"utt-227","Berapa lama rentang waktu aktivitas mingguan di FAST Learning?","berapa lama rentang waktu aktivitas minggu fast learning","elearning_dan_absensi","E-Learning dan Absensi","227"
"utt-228","Apa kewajiban mahasiswa pada forum diskusi FAST Learning?","wajib mahasiswa forum diskusi fast learning","elearning_dan_absensi","E-Learning dan Absensi","228"
"utt-229","Bagaimana cara menanggapi forum di FAST Learning?","anggap forum fast learning","elearning_dan_absensi","E-Learning dan Absensi","229"
"utt-230","Apa itu kuis di FAST Learning?","kuis fast learning","elearning_dan_absensi","E-Learning dan Absensi","230"
"utt-231","Bagaimana cara mengerjakan kuis di FAST Learning?","mengerjakan kuis fast learning","elearning_dan_absensi","E-Learning dan Absensi","231"
"utt-232","Apa perbedaan kuis otomatis dan kuis essay di FAST Learning?","beda kuis otomatis kuis essay fast learning","elearning_dan_absensi","E-Learning dan Absensi","232"
"utt-233","Bagaimana cara mengumpulkan tugas di FAST Learning?","kumpul tugas fast learning","elearning_dan_absensi","E-Learning dan Absensi","233"
"utt-234","Bagaimana cara melihat nilai aktivitas di FAST Learning?","lihat nilai aktivitas fast learning","elearning_dan_absensi","E-Learning dan Absensi","234"
"utt-235","Apa yang harus dilakukan jika lupa password atau sulit login SSO?","harus laku jika lupa password sulit login sso","elearning_dan_absensi","E-Learning dan Absensi","235"
"utt-236","Siapa yang dapat dihubungi jika ada kendala FAST Learning?","siapa dapat hubung jika ada kendala fast learning","elearning_dan_absensi","E-Learning dan Absensi","236"
"utt-237","Apa itu surat edaran rektor?","surat edar rektor","kebijakan_kampus","Surat Edaran dan Kebijakan Kampus","237"
"utt-238","Siapa saja yang menjadi penerima surat edaran rektor?","siapa saja jadi terima surat edar rektor","kebijakan_kampus","Surat Edaran dan Kebijakan Kampus","238"
"utt-239","Apa kebijakan Work From Home atau WFH pada hari Jumat?","bijak work from home wfh hari jumat","kebijakan_kampus","Surat Edaran dan Kebijakan Kampus","239"
"utt-240","Mengapa Universitas Mercu Buana menerapkan WFH hari Jumat?","mengapa universitas mercu buana terap wfh hari jumat","kebijakan_kampus","Surat Edaran dan Kebijakan Kampus","240"
"utt-241","Bagaimana pelaksanaan perkuliahan Reguler 1 pada hari Jumat?","laksana kuliah reguler 1 hari jumat","kebijakan_kampus","Surat Edaran dan Kebijakan Kampus","241"
"utt-242","Aplikasi apa yang digunakan untuk perkuliahan Reguler 1 hari Jumat?","aplikasi guna kuliah reguler 1 hari jumat","kebijakan_kampus","Surat Edaran dan Kebijakan Kampus","242"
"utt-243","Bagaimana pola pertemuan ganjil dan genap pada perkuliahan Reguler 1 hari Jumat?","pola temu ganjil genap kuliah reguler 1 hari jumat","kebijakan_kampus","Surat Edaran dan Kebijakan Kampus","243"
"utt-244","Bagaimana aturan kehadiran dosen pada perkuliahan Reguler 1 hari Jumat?","atur hadir dosen kuliah reguler 1 hari jumat","kebijakan_kampus","Surat Edaran dan Kebijakan Kampus","244"
"utt-245","Bagaimana aturan kehadiran mahasiswa pada perkuliahan Reguler 1 hari Jumat?","atur hadir mahasiswa kuliah reguler 1 hari jumat","kebijakan_kampus","Surat Edaran dan Kebijakan Kampus","245"
"utt-246","Bagaimana pelaksanaan perkuliahan Reguler 2 hari Sabtu untuk kode kelas 1F dan 2F?","laksana kuliah reguler 2 hari sabtu kode kelas","kebijakan_kampus","Surat Edaran dan Kebijakan Kampus","246"
"utt-247","Aplikasi apa yang digunakan untuk perkuliahan Reguler 2 hari Sabtu kode kelas 1F dan 2F?","aplikasi guna kuliah reguler 2 hari sabtu kode kelas","kebijakan_kampus","Surat Edaran dan Kebijakan Kampus","247"
"utt-248","Bagaimana ketentuan aktivitas pada FAST Learning untuk kelas Reguler 2 hari Sabtu?","tentu aktivitas fast learning kelas reguler 2 hari sabtu","kebijakan_kampus","Surat Edaran dan Kebijakan Kampus","248"
"utt-249","Bagaimana aturan kehadiran mahasiswa pada FAST Learning?","atur hadir mahasiswa fast learning","kebijakan_kampus","Surat Edaran dan Kebijakan Kampus","249"
"utt-250","Bagaimana pelaksanaan perkuliahan Reguler 2 hari Sabtu untuk kelas selain 1F dan 2F?","laksana kuliah reguler 2 hari sabtu kelas selain","kebijakan_kampus","Surat Edaran dan Kebijakan Kampus","250"
"utt-251","Apakah masih ada perkuliahan offline pada hari Sabtu?","apakah masih ada kuliah offline hari sabtu","kebijakan_kampus","Surat Edaran dan Kebijakan Kampus","251"
"utt-252","Bagaimana aturan kegiatan akademik pada hari Sabtu selama kebijakan WFH?","atur giat akademik hari sabtu lama bijak wfh","kebijakan_kampus","Surat Edaran dan Kebijakan Kampus","252"
"utt-253","Apakah praktikum tetap boleh tatap muka selama kebijakan WFH?","apakah praktikum tetap boleh tatap muka lama bijak wfh","kebijakan_kampus","Surat Edaran dan Kebijakan Kampus","253"
"utt-254","Apa isi surat edaran tentang keluarga UMB yang terdampak bencana alam Sumatera?","isi surat edar tentang keluarga umb dampak bencana alam sumatera","kebijakan_kampus","Surat Edaran dan Kebijakan Kampus","254"
"utt-255","Kapan perkuliahan semester genap 2025/2026 dimulai?","kuliah semester genap 2025 2026 mulai","kalender_dan_pengumuman","Kalender Akademik","255"
"utt-256","Apa saja jenis pertemuan pada Kalender FAST Learning?","saja jenis temu kalender fast learning","kalender_dan_pengumuman","Kalender Akademik","256"
"utt-257","Apa itu TMV pada Kalender FAST Learning?","tmv kalender fast learning","kalender_dan_pengumuman","Kalender Akademik","257"
"utt-258","Apa itu TMK pada Kalender FAST Learning?","tmk kalender fast learning","kalender_dan_pengumuman","Kalender Akademik","258"
"utt-259","Apa itu perkuliahan Daring pada Kalender FAST Learning?","kuliah daring kalender fast learning","kalender_dan_pengumuman","Kalender Akademik","259"
"utt-260","Bagaimana pola pertemuan FAST Learning untuk kelas Senin?","pola temu fast learning kelas senin","kalender_dan_pengumuman","Kalender Akademik","260"
"utt-261","Bagaimana pola pertemuan FAST Learning untuk kelas Selasa?","pola temu fast learning kelas selasa","kalender_dan_pengumuman","Kalender Akademik","261"
"utt-262","Bagaimana pola pertemuan FAST Learning untuk kelas Rabu?","pola temu fast learning kelas rabu","kalender_dan_pengumuman","Kalender Akademik","262"
"utt-263","Bagaimana pola pertemuan FAST Learning untuk kelas Kamis?","pola temu fast learning kelas kamis","kalender_dan_pengumuman","Kalender Akademik","263"
"utt-264","Bagaimana pola pertemuan FAST Learning untuk kelas Jumat?","pola temu fast learning kelas jumat","kalender_dan_pengumuman","Kalender Akademik","264"
"utt-265","Bagaimana pola pertemuan FAST Learning untuk kelas Sabtu?","pola temu fast learning kelas sabtu","kalender_dan_pengumuman","Kalender Akademik","265"
"utt-266","Kapan UTS dan UAS pada Kalender FAST Learning?","uts uas kalender fast learning","kalender_dan_pengumuman","Kalender Akademik","266"
"utt-267","Apa saja tanggal penting pada Kalender FAST Learning Genap 2025/2026?","saja tanggal penting kalender fast learning genap 2025 2026","kalender_dan_pengumuman","Kalender Akademik","267"
"utt-268","Kapan libur Hari Raya Natal 2025 di Universitas Mercu Buana?","libur hari raya natal 2025 universitas mercu buana","kalender_dan_pengumuman","Pengumuman Kampus","268"
"utt-269","Kapan libur Tahun Baru Imlek 2577 Kongzili?","libur tahun baru imlek 2577 kongzili","kalender_dan_pengumuman","Pengumuman Kampus","269"
"utt-270","Kapan libur Hari Suci Nyepi 2026?","libur hari suci nyepi 2026","kalender_dan_pengumuman","Pengumuman Kampus","270"
"utt-271","Kapan libur Idul Fitri 1 Syawal 1447 H?","libur idul fitri 1 syawal 1447","kalender_dan_pengumuman","Pengumuman Kampus","271"
"utt-272","Kapan aktivitas kampus kembali normal setelah libur Idul Fitri 2026?","aktivitas kampus kembali normal telah libur idul fitri 2026","kalender_dan_pengumuman","Pengumuman Kampus","272"
"utt-273","Apa aturan keamanan kampus selama masa libur?","atur aman kampus lama masa libur","kalender_dan_pengumuman","Pengumuman Kampus","273"
"utt-274","Kapan pengambilan KTM BNI Reguler 1 Semester Ganjil 2025/2026?","ambil ktm bni reguler 1 semester ganjil 2025 2026","kalender_dan_pengumuman","Pengumuman Kampus","274"
"utt-275","Di mana lokasi pengambilan KTM BNI Reguler 1?","mana lokasi ambil ktm bni reguler 1","kalender_dan_pengumuman","Pengumuman Kampus","275"
"utt-276","Apa syarat pengambilan KTM BNI?","syarat ambil ktm bni","kalender_dan_pengumuman","Pengumuman Kampus","276"
"utt-277","Bagaimana jika nama mahasiswa belum tercantum pada daftar pengambilan KTM?","jika nama mahasiswa belum cantum daftar ambil ktm","kalender_dan_pengumuman","Pengumuman Kampus","277"
"utt-278","Apa kontak FAST Learning yang bisa dihubungi mahasiswa?","kontak fast learning bisa hubung mahasiswa","layanan_akademik_dan_kontak","Kontak Penting","278"
"utt-279","Apa saja website penting untuk mahasiswa Universitas Mercu Buana?","saja website penting mahasiswa universitas mercu buana","layanan_akademik_dan_kontak","Kontak Penting","279"
"utt-280","Kapan jam pelayanan FAST Learning dan layanan terkait?","jam layan fast learning layan kait","layanan_akademik_dan_kontak","Kontak Penting","280"
"utt-281","Apa saja layanan e-resource Perpustakaan UMB?","saja layan resource pustaka umb","perpustakaan_dan_jurnal","Perpustakaan dan Jurnal","281"
"utt-282","Apakah username dan password e-resource boleh disebarkan?","apakah username password resource boleh sebar","perpustakaan_dan_jurnal","Perpustakaan dan Jurnal","282"
"utt-283","Siapa yang bisa dihubungi untuk akses e-resource Perpustakaan UMB?","siapa bisa hubung akses resource pustaka umb","perpustakaan_dan_jurnal","Perpustakaan dan Jurnal","283"
"utt-284","Apa itu IEEE Xplore?","ieee xplore","perpustakaan_dan_jurnal","Perpustakaan dan Jurnal","284"
"utt-285","Bagaimana cara mencari artikel di IEEE Xplore?","cari artikel ieee xplore","perpustakaan_dan_jurnal","Perpustakaan dan Jurnal","285"
"utt-286","Apa saja fitur penting di IEEE Xplore?","saja fitur penting ieee xplore","perpustakaan_dan_jurnal","Perpustakaan dan Jurnal","286"
"utt-287","Apa itu Gale?","gale","perpustakaan_dan_jurnal","Perpustakaan dan Jurnal","287"
"utt-288","Apa saja fitur pencarian di Gale?","saja fitur cari gale","perpustakaan_dan_jurnal","Perpustakaan dan Jurnal","288"
"utt-289","Bagaimana cara menyimpan atau mengolah artikel di Gale?","simpan olah artikel gale","perpustakaan_dan_jurnal","Perpustakaan dan Jurnal","289"
"utt-290","Apa itu Emerald?","emerald","perpustakaan_dan_jurnal","Perpustakaan dan Jurnal","290"
"utt-291","Bagaimana aturan akses Emerald dari luar kampus?","atur akses emerald luar kampus","perpustakaan_dan_jurnal","Perpustakaan dan Jurnal","291"
"utt-292","Bagaimana cara mencari dan mengunduh artikel di Emerald?","cari unduh artikel emerald","perpustakaan_dan_jurnal","Perpustakaan dan Jurnal","292"
"utt-293","Apa itu ProQuest?","proquest","perpustakaan_dan_jurnal","Perpustakaan dan Jurnal","293"
"utt-294","Bagaimana cara mengakses ProQuest dari luar institusi?","akses proquest luar institusi","perpustakaan_dan_jurnal","Perpustakaan dan Jurnal","294"
"utt-295","Apa saja fitur utama ProQuest?","saja fitur utama proquest","perpustakaan_dan_jurnal","Perpustakaan dan Jurnal","295"
"utt-296","Bagaimana cara mencari artikel di ProQuest?","cari artikel proquest","perpustakaan_dan_jurnal","Perpustakaan dan Jurnal","296"
"utt-297","Apa itu Ebook Central?","ebook central","perpustakaan_dan_jurnal","Perpustakaan dan Jurnal","297"
"utt-298","Bagaimana cara menggunakan Ebook Central?","guna ebook central","perpustakaan_dan_jurnal","Perpustakaan dan Jurnal","298"
"utt-299","Apa perbedaan jurnal, ebook, dan database e-resource?","beda jurnal ebook database resource","perpustakaan_dan_jurnal","Perpustakaan dan Jurnal","299"
"utt-300","Bagaimana cara memilih database jurnal yang sesuai kebutuhan?","pilih database jurnal sesuai butuh","perpustakaan_dan_jurnal","Perpustakaan dan Jurnal","300"
